SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)C[N@H+](CCCl)C,1/000001013,"InChI=1S/C15H18ClN3O4/c1-19(6-5-16)9-11-3-2-10(23-11)8-13(21)14-12(4-7-20)15(22)18-17-14/h2-4,20H,5-9H2,1H3,(H,18,22)/p+1/b12-4-",C15H19N3O4Cl,340,0.25,4.58,1.89,3.84,-40,4.823414718893193,1
Oc1c(OC(=O)CCCCCN)ccc(c1CO)c1scnc1,17/000000800,"InChI=1S/C16H20N2O4S/c17-7-3-1-2-4-15(20)22-13-6-5-11(12(9-19)16(13)21)14-8-18-10-23-14/h5-6,8,10,19,21H,1-4,7,9,17H2",C16H20N2O4S,336,0.83,4.58,-2.3,3.72,-180,2.8055075836247223,1
ON[C@H](CCCCCCCS)c1cnc[nH]1,1/000000062,"InChI=1S/C11H21N3OS/c15-14-10(11-8-12-9-13-11)6-4-2-1-3-5-7-16/h8-10,14-16H,1-7H2,(H,12,13)/t10-/m1/s1",C11H21N3OS,243,2.35,4.58,0.68,2.35,-150,3.5182595730235438,1
C=CCc1nn(c(=O)[nH]1)[C@H](c1nnc([nH]1)C[NH3+])Cl,26/000000103,"InChI=1S/C9H12ClN7O/c1-2-3-5-13-9(18)17(16-5)7(10)8-12-6(4-11)14-15-8/h2,7H,1,3-4,11H2,(H,12,14,15)(H,13,16,18)/p+1/t7-/m1/s1",C9H13N7OCl,270,0.79,4.58,8.73,22.6,-150,5.060903112295889,1
OC(=O)C1=C(C#Cc2nc(n[nH]2)S)NC=CC1,12/000000180,"InChI=1S/C10H8N4O2S/c15-9(16)6-2-1-5-11-7(6)3-4-8-12-10(17)14-13-8/h1,5,11H,2H2,(H,15,16)(H2,12,13,14,17)",C10H8N4O2S,248,1.74,4.58,-6.94,24.1,-20,4.374972351071326,1
Oc1c(OC(=O)c2ncoc2)ccc(c1NC(=O)N)c1[nH]ncc1,17/000001397,"InChI=1S/C14H11N5O5/c15-14(22)18-11-7(8-3-4-17-19-8)1-2-10(12(11)20)24-13(21)9-5-23-6-16-9/h1-6,20H,(H,17,19)(H3,15,18,22)",C14H11N5O5,329,0.37,4.58,-4.67,5.09,-180,3.211568098107665,1
OC(=O)/C=C\c1ccc(c(c1)O)OC(=O)C(=O)O,17/000000819,"InChI=1S/C11H8O7/c12-7-5-6(2-4-9(13)14)1-3-8(7)18-11(17)10(15)16/h1-5,12H,(H,13,14)(H,15,16)/b4-2-",C11H7O7,251,0.24,4.58,-3.31,2.22,-60,2.3484981182996076,1
Sc1nnc(o1)CCCCCCOC(=O)c1nnc([nH]1)S,4/000000016,"InChI=1S/C11H15N5O3S2/c17-9(8-12-10(20)15-14-8)18-6-4-2-1-3-5-7-13-16-11(21)19-7/h1-6H2,(H,16,21)(H2,12,14,15,20)",C11H15N5O3S2,329,4.0,4.57,-4.02,3.58,-60,3.435440543509092,1
OC(=O)/C=C/[C@H](CN)Nc1ncc(cn1)C/C=C/C,1/000000719,"InChI=1S/C13H18N4O2/c1-2-3-4-10-8-15-13(16-9-10)17-11(7-14)5-6-12(18)19/h2-3,5-6,8-9,11H,4,7,14H2,1H3,(H,18,19)(H,15,16,17)/b3-2+,6-5+/t11-/m1/s1",C13H18N4O2,262,0.39,4.57,0.01,3.58,-170,3.7197525949954002,1
Oc1c(OC(=O)c2nnc[nH]2)ccc(c1)CCCC,17/000000994,"InChI=1S/C13H15N3O3/c1-2-3-4-9-5-6-11(10(17)7-9)19-13(18)12-14-8-15-16-12/h5-8,17H,2-4H2,1H3,(H,14,15,16)",C13H15N3O3,261,3.35,4.57,-4.34,3.58,-60,2.756220738396312,1
