SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC(=O)c1ncnc(n1)CCC[C@@H]([NH3+])C1=CCC=CO1;11/000000001;InChI=1S/C13H16N4O3/c14-9(10-5-1-2-7-20-10)4-3-6-11-15-8-16-12(17-11)13(18)19/h2,5,7-9H,1,3-4,6,14H2,(H,18,19)/p+1/t9-/m1/s1;C13H17N4O3;277;-0.33;4.21;1.26;3.72;-150
O[C@@H](c1cc(Cl)ccc1O)C1=CN[C@H](N1)C;11/000000007;InChI=1S/C11H13ClN2O2/c1-6-13-5-9(14-6)11(16)8-4-7(12)2-3-10(8)15/h2-6,11,13-16H,1H3/t6?,11-/m0/s1;C11H12N2O2Cl;239;2.03;5.20;4.25;2.22;-170
Oc1ccc(cc1[C@H]([NH3+])c1nscc1)Cl;11/000000019;InChI=1S/C10H9ClN2OS/c11-6-1-2-9(14)7(5-6)10(12)8-3-4-15-13-8/h1-5,10,14H,12H2/p+1/t10-/m0/s1;C10H10N2OSCl;241;1.83;4.77;5.01;16.00;-150
Oc1ccc(cc1[C@H]([NH3+])c1nocn1)Cl;11/000000012;InChI=1S/C9H8ClN3O2/c10-5-1-2-7(14)6(3-5)8(11)9-12-4-15-13-9/h1-4,8,14H,11H2/p+1/t8-/m0/s1;C9H9N3O2Cl;226;1.12;4.84;5.49;16.10;-150
Oc1ccc(c(c1CO)O)Cl;11/000000029;InChI=1S/C7H7ClO3/c8-5-1-2-6(10)4(3-9)7(5)11/h1-2,9-11H,3H2;C7H7O3Cl;174;1.02;4.29;5.89;1.11;0
Oc1ccc(cc1[C@@H](c1nc([nH]c1)S)O)Cl;11/000000023;InChI=1S/C10H9ClN2O2S/c11-5-1-2-8(14)6(3-5)9(15)7-4-12-10(16)13-7/h1-4,9,14-15H,(H2,12,13,16)/t9-/m0/s1;C10H9N2O2SCl;256;1.65;4.56;4.71;2.22;-150
OC(=O)c1ncnc(n1)CCC[C@@H]([NH3+])C1=CCC=CO1;11/000000002;InChI=1S/C13H16N4O3/c14-9(10-5-1-2-7-20-10)4-3-6-11-15-8-16-12(17-11)13(18)19/h2,5,7-9H,1,3-4,6,14H2,(H,18,19)/p+1/t9-/m1/s1;C13H17N4O3;277;-0.33;4.21;1.26;3.72;-150
Oc1ccc(cc1[C@H]([NH3+])c1ncccc1)Cl;11/000000021;InChI=1S/C12H11ClN2O/c13-8-4-5-11(16)9(7-8)12(14)10-3-1-2-6-15-10/h1-7,12,16H,14H2/p+1/t12-/m0/s1;C12H12N2OCl;235;1.77;4.41;5.80;10.70;-150
Oc1ccc(cc1[C@H]([NH3+])c1nscc1)Cl;11/000000018;InChI=1S/C10H9ClN2OS/c11-6-1-2-9(14)7(5-6)10(12)8-3-4-15-13-8/h1-5,10,14H,12H2/p+1/t10-/m0/s1;C10H10N2OSCl;241;1.83;4.67;5.46;16.00;-150
O[C@@H](CC(=O)N1C=NN=CC1)COc1ncc(cc1)NC;11/000000003;InChI=1S/C13H17N5O3/c1-14-10-2-3-12(15-7-10)21-8-11(19)6-13(20)18-5-4-16-17-9-18/h2-4,7,9,11,14,19H,5-6,8H2,1H3/t11-/m0/s1;C13H17N5O3;291;0.59;4.09;-0.03;3.58;-170
Oc1ccc(cc1[C@H]([NH3+])c1nscc1)Cl;11/000000017;InChI=1S/C10H9ClN2OS/c11-6-1-2-9(14)7(5-6)10(12)8-3-4-15-13-8/h1-5,10,14H,12H2/p+1/t10-/m0/s1;C10H10N2OSCl;241;1.83;4.16;5.85;16.00;-150
Oc1ccc(cc1[C@H]([NH3+])C1=CCOC1)Cl;11/000000009;InChI=1S/C11H12ClNO2/c12-8-1-2-10(14)9(5-8)11(13)7-3-4-15-6-7/h1-3,5,11,14H,4,6,13H2/p+1/t11-/m1/s1;C11H13NO2Cl;226;0.95;4.01;5.39;12.30;-150
Oc1ccc(cc1[C@H]([NH3+])c1nocn1)Cl;11/000000013;InChI=1S/C9H8ClN3O2/c10-5-1-2-7(14)6(3-5)8(11)9-12-4-15-13-9/h1-4,8,14H,11H2/p+1/t8-/m0/s1;C9H9N3O2Cl;226;1.12;4.78;5.69;16.10;-150
Oc1ccc(cc1[C@H]([NH3+])C1=CCOC1)Cl;11/000000010;InChI=1S/C11H12ClNO2/c12-8-1-2-10(14)9(5-8)11(13)7-3-4-15-6-7/h1-3,5,11,14H,4,6,13H2/p+1/t11-/m1/s1;C11H13NO2Cl;226;0.95;4.14;5.74;12.30;-150
Oc1ccc(c(c1)C(=O)O)c1ccccc1;12/000000195;InChI=1S/C13H10O3/c14-10-6-7-11(12(8-10)13(15)16)9-4-2-1-3-5-9/h1-8,14H,(H,15,16);C13H10O3;214;3.17;4.17;-4.99;1.00;-160
OC(=O)c1ccccc1/N=C\1/N(CS)CCC1;12/000000115;InChI=1S/C12H14N2O2S/c15-12(16)9-4-1-2-5-10(9)13-11-6-3-7-14(11)8-17/h1-2,4-5,17H,3,6-8H2,(H,15,16)/b13-11+;C12H14N2O2S;250;2.10;4.48;-8.29;3.58;-20
OC(=O)C1=C(C#Cc2snnc2)NC=CC1;12/000000170;InChI=1S/C10H7N3O2S/c14-10(15)8-2-1-5-11-9(8)4-3-7-6-12-13-16-7/h1,5-6,11H,2H2,(H,14,15);C10H7N3O2S;233;2.16;4.12;-8.13;24.50;-20
OC(=O)c1c(O)c(OC)ccc1COC(=O)C/C=C/C=C;12/000000189;InChI=1S/C15H16O6/c1-3-4-5-6-12(16)21-9-10-7-8-11(20-2)14(17)13(10)15(18)19/h3-5,7-8,17H,1,6,9H2,2H3,(H,18,19)/b5-4+;C15H16O6;292;1.78;4.13;-4.53;5.09;-110
