SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset
Sc1c(O[C@@H]2C=CCC2)cnc(c1Br)CC[NH3+],3/000000054,"InChI=1S/C12H15BrN2OS/c13-11-9(5-6-14)15-7-10(12(11)17)16-8-3-1-2-4-8/h1,3,7-8H,2,4-6,14H2,(H,15,17)/p+1/t8-/m1/s1",C12H16N2OSBr,316,2.24,4.19,-3.12,3.72,-170,4.631744652759915,1,MAYBRIDGE
ONC/C=C/CC[C@H](CO)c1c(Br)ccc(c1)O,6/000000001,"InChI=1S/C13H18BrNO3/c14-13-6-5-11(17)8-12(13)10(9-16)4-2-1-3-7-15-18/h1,3,5-6,8,10,15-18H,2,4,7,9H2/b3-1+/t10-/m1/s1",C13H18NO3Br,316,2.31,4.19,-2.72,3.72,-150,3.589192650757427,1,MAYBRIDGE
O[C@@H](c1nnc(o1)S)C#CCOC(=O)c1cc[nH]c1CNC,30/000000140,"InChI=1S/C13H14N4O4S/c1-14-7-9-8(4-5-15-9)12(19)20-6-2-3-10(18)11-16-17-13(22)21-11/h4-5,10,14-15,18H,6-7H2,1H3,(H,17,22)/t10-/m1/s1",C13H14N4O4S,322,0.7,4.19,0.23,4.94,-190,4.221383500066414,1,MAYBRIDGE
SCCc1ccccc1C[C@H](NC1=NCC(=O)N1)S,9/000000027,"InChI=1S/C13H17N3OS2/c17-11-8-14-13(15-11)16-12(19)7-10-4-2-1-3-9(10)5-6-18/h1-4,12,18-19H,5-8H2,(H2,14,15,16,17)/t12-/m1/s1",C13H17N3OS2,295,1.75,4.19,-1.68,3.58,-150,3.856057142649005,1,MAYBRIDGE
C1=CNc2c(C1)cnc(n2)C(=O)N,25/000000001,"InChI=1S/C8H8N4O/c9-6(13)8-11-4-5-2-1-3-10-7(5)12-8/h1,3-4H,2H2,(H2,9,13)(H,10,11,12)",C8H8N4O,176,-0.27,4.19,0.79,12.4,-80,3.5464518082208834,1,MAYBRIDGE
Sc1nc2ccccc2c(c1)N(CCCNCN)c1nncs1,14/000000001,"InChI=1S/C15H18N6S2/c16-9-17-6-3-7-21(15-20-18-10-23-15)13-8-14(22)19-12-5-2-1-4-11(12)13/h1-2,4-5,8,10,17H,3,6-7,9,16H2,(H,19,22)",C15H18N6S2,346,3.36,4.18,-7.22,23.3,-80,3.3347992448452457,1,MAYBRIDGE
Oc1c(O)cc(cc1S)F,12/000000009,"InChI=1S/C6H5FO2S/c7-3-1-4(8)6(9)5(10)2-3/h1-2,8-10H",C6H5O2SF,160,1.75,4.18,6.13,1.0,0,2.893782976142969,1,MAYBRIDGE
OC(=O)c1cc(O)c(c(c1)c1nnco1)CCF,17/000000048,"InChI=1S/C11H9FN2O4/c12-2-1-7-8(10-14-13-5-18-10)3-6(11(16)17)4-9(7)15/h3-5,15H,1-2H2,(H,16,17)",C11H9N2O4F,252,2.79,4.18,-6.07,20.3,-180,2.996314195222684,1,MAYBRIDGE
OC(=O)c1c(O)ccc(c1)NC(=O)CNCCc1nn[nH]c1,10/000000015,"InChI=1S/C13H15N5O4/c19-11-2-1-8(5-10(11)13(21)22)16-12(20)7-14-4-3-9-6-15-18-17-9/h1-2,5-6,14,19H,3-4,7H2,(H,16,20)(H,21,22)(H,15,17,18)",C13H15N5O4,305,-0.28,4.18,-1.47,3.58,-60,2.6614119427946967,1,MAYBRIDGE
ON[C@H](c1nc(I)c(cc1)O)S,30/000000308,"InChI=1S/C6H7IN2O2S/c7-5-4(10)2-1-3(8-5)6(12)9-11/h1-2,6,9-12H/t6-/m0/s1",C6H7N2O2SI,298,1.48,4.18,8.17,11.6,-150,4.347123959250274,1,MAYBRIDGE
Oc1c(I)nc(cc1)[C@@H](C1=CC=CCC1)N,30/000000322,"InChI=1S/C12H13IN2O/c13-12-10(16)7-6-9(15-12)11(14)8-4-2-1-3-5-8/h1-2,4,6-7,11,16H,3,5,14H2/t11-/m1/s1",C12H13N2OI,328,1.1,4.18,8.43,13.9,-150,3.9589592385753822,1,MAYBRIDGE
N(Cc1nnc[nH]1)OCc1oc(nc1)[C@H](C)Cl,17/000000127,"InChI=1S/C9H12ClN5O2/c1-6(10)9-11-2-7(17-9)4-16-14-3-8-12-5-13-15-8/h2,5-6,14H,3-4H2,1H3,(H,12,13,15)/t6-/m0/s1",C9H12N5O2Cl,257,1.43,4.17,4.15,2.22,-170,4.317978443968707,1,MAYBRIDGE
