SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset
Oc1c(OC(=O)c2nnn[nH]2)cccc1C(=O)[C@@H](c1coc(c1)Br)O,17/000000893,"InChI=1S/C14H9BrN4O6/c15-9-4-6(5-24-9)10(20)12(22)7-2-1-3-8(11(7)21)25-14(23)13-16-18-19-17-13/h1-5,10,20-21H,(H,16,17,18,19)/t10-/m1/s1",C14H9N4O6Br,409,0.11,4.8,-3.84,4.94,-190,3.784150790612484,1,CONCAT
Sc1c(/C=C/C=C/C(=O)C)cc(cc1ON)Br,15/000000145,"InChI=1S/C12H12BrNO2S/c1-8(15)4-2-3-5-9-6-10(13)7-11(16-14)12(9)17/h2-7,17H,14H2,1H3/b4-2+,5-3+",C12H12NO2SBr,314,2.12,4.8,-7.8,2.35,-40,3.4131023677937335,1,CONCAT
Oc1nc(nc2c1nn[nH]2)[C@@H](CCON)c1nnc[nH]1,28/000000046,"InChI=1S/C9H11N9O2/c10-20-2-1-4(6-11-3-12-16-6)7-13-8-5(9(19)14-7)15-18-17-8/h3-4H,1-2,10H2,(H,11,12,16)(H2,13,14,15,17,18,19)/t4-/m0/s1",C9H11N9O2,277,-0.29,4.8,-4.72,23.2,-190,4.690397646151644,1,CONCAT
O[C@H](CC(=O)Oc1ccc(c(c1)CN)SC)c1occ(n1)CF,19/000000001,"InChI=1S/C15H17FN2O4S/c1-23-13-3-2-11(4-9(13)7-17)22-14(20)5-12(19)15-18-10(6-16)8-21-15/h2-4,8,12,19H,5-7,17H2,1H3/t12-/m1/s1",C15H17N2O4SF,340,1.1,4.8,1.75,5.09,-190,3.5916868342778088,1,CONCAT
OCC#Cc1nnc(s1)CC(=O)[C@H](c1nnc[nH]1)NO,1/000000310,"InChI=1S/C10H10N6O3S/c17-3-1-2-7-13-14-8(20-7)4-6(18)9(16-19)10-11-5-12-15-10/h5,9,16-17,19H,3-4H2,(H,11,12,15)/t9-/m1/s1",C10H10N6O3S,294,0.29,4.8,0.12,2.35,-190,4.5139492306832665,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)cccc1/C=C/C(=C\C)/C,17/000000125,"InChI=1S/C15H15N3O3/c1-3-10(2)7-8-11-5-4-6-12(13(11)19)21-15(20)14-16-9-17-18-14/h3-9,19H,1-2H3,(H,16,17,18)/b8-7+,10-3-",C15H15N3O3,285,3.4,4.8,-3.5,3.58,-120,3.238418848593839,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)ccc(c1)SC(S)(F)F,17/000001394,"InChI=1S/C10H7F2N3O3S2/c11-10(12,19)20-5-1-2-7(6(16)3-5)18-9(17)8-13-4-14-15-8/h1-4,16,19H,(H,13,14,15)",C10H7N3O3S2F2,319,3.54,4.79,-3.8,3.58,-190,3.549305166020808,1,CONCAT
OC(=O)c1c2c(oc1C/C(=C/C)/CCNN)ccc(c2)O[P@H](=O)O,17/000001112,"InChI=1S/C15H19N2O6P/c1-2-9(5-6-17-16)7-13-14(15(18)19)11-8-10(23-24(20)21)3-4-12(11)22-13/h2-4,8,17,24H,5-7,16H2,1H3,(H,18,19)(H,20,21)/b9-2+",C15H19N2O6P,354,-0.1,4.79,-5.11,23.8,-100,4.185040770014273,1,CONCAT
Oc1c(OC(=O)c2nnn[nH]2)cccc1c1cnsc1,17/000000617,"InChI=1S/C11H7N5O3S/c17-9-7(6-4-12-20-5-6)2-1-3-8(9)19-11(18)10-13-15-16-14-10/h1-5,17H,(H,13,14,15,16)",C11H7N5O3S,289,1.16,4.79,-0.99,3.58,-120,3.340723752951119,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)ccc(c1)C[C@H](c1nnco1)F,17/000001043,"InChI=1S/C13H10FN5O4/c14-8(12-19-17-6-22-12)3-7-1-2-10(9(20)4-7)23-13(21)11-15-5-16-18-11/h1-2,4-6,8,20H,3H2,(H,15,16,18)/t8-/m1/s1",C13H10N5O4F,319,3.15,4.79,-4.35,3.58,-170,3.893788997739346,1,CONCAT
ONCC(=O)Cc1nnc(s1)[C@H](N1C=NCC1)C#CC,1/000000455,"InChI=1S/C12H15N5O2S/c1-2-3-10(17-5-4-13-8-17)12-16-15-11(20-12)6-9(18)7-14-19/h8,10,14,19H,4-7H2,1H3/t10-/m1/s1",C12H15N5O2S,293,0.37,4.79,-2.49,5.09,-190,4.534400242829014,1,CONCAT
Oc1cc(cc(c1CC/C=C/C[NH3+])N(=O)=O)NC(=O)CC(=C)C,17/000001618,"InChI=1S/C16H21N3O4/c1-11(2)8-16(21)18-12-9-14(19(22)23)13(15(20)10-12)6-4-3-5-7-17/h3,5,9-10,20H,1,4,6-8,17H2,2H3,(H,18,21)/p+1/b5-3+",C16H22N3O4,320,1.08,4.78,-3.93,21.8,-170,3.4644258771921965,1,CONCAT
O[C@@H](C1=NNC(=O)/C/1=C\C(=O)C)C=C,1/000000979,"InChI=1S/C9H10N2O3/c1-3-7(13)8-6(4-5(2)12)9(14)11-10-8/h3-4,7,13H,1H2,2H3,(H,11,14)/b6-4-/t7-/m1/s1",C9H10N2O3,194,-0.35,4.78,7.47,3.58,-170,4.2552451950730354,1,CONCAT
OC(=S)Nc1c(O)c(OC(=O)[C@@H](C)N)ccc1CCO,17/000000247,"InChI=1S/C12H16N2O5S/c1-6(13)11(17)19-8-3-2-7(4-5-15)9(10(8)16)14-12(18)20/h2-3,6,15-16H,4-5,13H2,1H3,(H2,14,18,20)/t6-/m1/s1",C12H16N2O5S,300,-0.21,4.78,-4.57,19.5,-170,3.4984145121743673,1,CONCAT
Sc1nnc([nH]1)[C@H](c1nncs1)N,1/000000694,"InChI=1S/C5H6N6S2/c6-2(4-10-7-1-13-4)3-8-5(12)11-9-3/h1-2H,6H2,(H2,8,9,11,12)/t2-/m1/s1",C5H6N6S2,214,1.44,4.78,5.87,21.4,-150,4.575988558973922,1,CONCAT
ONCC(=O)Cc1nnc(s1)C/C=C(\C)/C=C,1/000000385,"InChI=1S/C11H15N3O2S/c1-3-8(2)4-5-10-13-14-11(17-10)6-9(15)7-12-16/h3-4,12,16H,1,5-7H2,2H3/b8-4+",C11H15N3O2S,253,0.94,4.78,0.81,3.58,-20,3.664373619483764,1,CONCAT
Oc1c(OC(=O)c2nc(oc2)CC=C)cccc1c1cc[nH]c1C[NH2+]C,17/000001366,"InChI=1S/C19H19N3O4/c1-3-5-17-22-15(11-25-17)19(24)26-16-7-4-6-13(18(16)23)12-8-9-21-14(12)10-20-2/h3-4,6-9,11,20-21,23H,1,5,10H2,2H3/p+1",C19H20N3O4,354,2.12,4.78,-1.53,4.94,-180,3.6927910279251983,1,CONCAT
ON[C@H](/C=C/Cc1ncnc(c1)Cc1ccccc1)S,1/000000793,"InChI=1S/C15H17N3OS/c19-18-15(20)8-4-7-13-10-14(17-11-16-13)9-12-5-2-1-3-6-12/h1-6,8,10-11,15,18-20H,7,9H2/b8-4+/t15-/m0/s1",C15H17N3OS,287,2.28,4.78,-4.89,15.5,-150,3.5184687336848013,1,CONCAT
Sc1c(/C=C/C=C/CS(=O)=O)cc(cc1ON)Br,15/000000085,"InChI=1S/C11H12BrNO3S2/c12-9-6-8(11(17)10(7-9)16-13)4-2-1-3-5-18(14)15/h1-4,6-7,17-18H,5,13H2/b3-1+,4-2+",C11H12NO3S2Br,350,1.59,4.78,-8.15,2.35,-40,4.218269429131633,1,CONCAT
Oc1c(OC(=O)c2nnn[nH]2)cccc1C1=CSCC1,17/000001252,"InChI=1S/C12H10N4O3S/c17-10-8(7-4-5-20-6-7)2-1-3-9(10)19-12(18)11-13-15-16-14-11/h1-3,6,17H,4-5H2,(H,13,14,15,16)",C12H10N4O3S,290,1.36,4.78,-1.77,3.58,-120,3.4565826388927645,1,CONCAT
ON[C@H](C(=O)Cc1nnc(s1)CCC(=O)O)c1n[nH]cc1Br,1/000000100,"InChI=1S/C11H12BrN5O4S/c12-5-4-13-16-10(5)11(17-21)6(18)3-8-15-14-7(22-8)1-2-9(19)20/h4,11,17,21H,1-3H2,(H,13,16)(H,19,20)/t11-/m1/s1",C11H12N5O4SBr,390,0.44,4.78,-0.33,2.61,-190,4.017398937563871,1,CONCAT
Oc1c(OC(=O)c2occc2)cc(cc1CNCO)C[NH3+],17/000000387,"InChI=1S/C14H16N2O5/c15-6-9-4-10(7-16-8-17)13(18)12(5-9)21-14(19)11-2-1-3-20-11/h1-5,16-18H,6-8,15H2/p+1",C14H17N2O5,293,-0.12,4.78,-2.73,5.09,0,3.195873607394359,1,CONCAT
Oc1ccc(cc1[C@H]([NH3+])c1nscc1)Cl,11/000000019,"InChI=1S/C10H9ClN2OS/c11-6-1-2-9(14)7(5-6)10(12)8-3-4-15-13-8/h1-5,10,14H,12H2/p+1/t10-/m0/s1",C10H10N2OSCl,241,1.83,4.77,5.01,16.0,-150,3.997312013899099,1,CONCAT
Oc1c(OC(=O)c2occc2)cc(cc1c1cc(nn1C)C)C[NH3+],17/000000945,"InChI=1S/C17H17N3O4/c1-10-6-13(20(2)19-10)12-7-11(9-18)8-15(16(12)21)24-17(22)14-4-3-5-23-14/h3-8,21H,9,18H2,1-2H3/p+1",C17H18N3O4,328,1.61,4.77,-4.46,24.4,-200,3.168765065758101,1,CONCAT
Oc1c(OC(=O)c2occc2)cc(c(c1)C=C)[C@H](C[NH3+])[NH3+],17/000001054,"InChI=1S/C15H16N2O4/c1-2-9-6-12(18)14(7-10(9)11(17)8-16)21-15(19)13-4-3-5-20-13/h2-7,11,18H,1,8,16-17H2/p+2/t11-/m0/s1",C15H18N2O4,290,0.78,4.77,-5.12,19.8,-190,4.1556127390968856,1,CONCAT
OCc1nnc([nH]1)C(=O)Oc1cccc(c1O)c1ncncn1,17/000000669,"InChI=1S/C13H10N6O4/c20-4-9-17-12(19-18-9)13(22)23-8-3-1-2-7(10(8)21)11-15-5-14-6-16-11/h1-3,5-6,20-21H,4H2,(H,17,18,19)",C13H10N6O4,314,0.26,4.77,-0.06,22.1,-160,3.2467838289178896,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)cccc1C1=CC=CCC1,17/000000139,"InChI=1S/C15H13N3O3/c19-13-11(10-5-2-1-3-6-10)7-4-8-12(13)21-15(20)14-16-9-17-18-14/h1-2,4-5,7-9,19H,3,6H2,(H,16,17,18)",C15H13N3O3,283,2.85,4.77,-2.16,3.58,-180,3.297026974782737,1,CONCAT
Sc1c(/C=C/C=C/CC(=O)C)cc(cc1ON)Br,15/000000082,"InChI=1S/C13H14BrNO2S/c1-9(16)5-3-2-4-6-10-7-11(14)8-12(17-15)13(10)18/h2-4,6-8,18H,5,15H2,1H3/b3-2+,6-4+",C13H14NO2SBr,328,2.3,4.77,-8.91,2.35,-80,3.524257812177158,1,CONCAT
Oc1c(OC(=O)C(=O)O)ccc(c1)C1=CCN=C1,17/000000918,"InChI=1S/C12H9NO5/c14-9-5-7(8-3-4-13-6-8)1-2-10(9)18-12(17)11(15)16/h1-3,5-6,14H,4H2,(H,15,16)",C12H8NO5,246,0.12,4.77,-4.58,3.58,-160,3.098052964453453,1,CONCAT
Sc1c(/C=C/C=C/[C@@H](S(=O)=O)[NH3+])cc(cc1ON)Br,15/000000209,"InChI=1S/C11H13BrN2O3S2/c12-8-5-7(11(18)9(6-8)17-14)3-1-2-4-10(13)19(15)16/h1-6,10,18-19H,13-14H2/p+1/b3-1+,4-2+/t10-/m1/s1",C11H14N2O3S2Br,366,0.76,4.77,-9.04,2.35,-190,4.95058187869727,1,CONCAT
Oc1c(OC(=O)[C@@H](CC)F)cc(cc1N(=O)=O)O,17/000001311,"InChI=1S/C10H10FNO6/c1-2-6(11)10(15)18-8-4-5(13)3-7(9(8)14)12(16)17/h3-4,6,13-14H,2H2,1H3/t6-/m1/s1",C10H10NO6F,259,1.64,4.76,-0.33,2.35,-170,3.207018005912909,1,CONCAT
ON[C@H](C(=O)Cc1nncs1)c1[nH]ccc1,1/000000058,"InChI=1S/C9H10N4O2S/c14-7(4-8-12-11-5-16-8)9(13-15)6-2-1-3-10-6/h1-3,5,9-10,13,15H,4H2/t9-/m0/s1",C9H10N4O2S,238,0.62,4.76,5.73,2.35,-150,4.05724519175264,1,CONCAT
C#C[C@H](c1ccc(c(c1C=C)O)OC(=O)c1nnc[nH]1)N,17/000001086,"InChI=1S/C14H12N4O3/c1-3-8-9(10(15)4-2)5-6-11(12(8)19)21-14(20)13-16-7-17-18-13/h2-3,5-7,10,19H,1,15H2,(H,16,17,18)/t10-/m1/s1",C14H12N4O3,284,1.93,4.76,-2.79,23.9,-170,4.182431306736143,1,CONCAT
Oc1c(OC(=O)C(=O)O)ccc(c1CN)/C(=C\C#CC)/C,17/000001278,"InChI=1S/C15H15NO5/c1-3-4-5-9(2)10-6-7-12(13(17)11(10)8-16)21-15(20)14(18)19/h5-7,17H,8,16H2,1-2H3,(H,18,19)/b9-5-",C15H14NO5,288,0.78,4.76,-6.13,21.0,-170,3.338726312739862,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)cccc1I,17/000000838,"InChI=1S/C9H6IN3O3/c10-5-2-1-3-6(7(5)14)16-9(15)8-11-4-12-13-8/h1-4,14H,(H,11,12,13)",C9H6N3O3I,331,3.23,4.76,-0.92,2.22,0,3.115566936886794,1,CONCAT
O[C@@H](C(=O)C[NH3+])/C=c\1/sc2c([nH]1)cccc2,30/000000077,"InChI=1S/C11H12N2O2S/c12-6-9(15)8(14)5-11-13-7-3-1-2-4-10(7)16-11/h1-5,8,13-14H,6,12H2/p+1/b11-5+/t8-/m1/s1",C11H13N2O2S,237,0.37,4.76,0.88,3.58,-190,4.148660777036921,1,CONCAT
Oc1c(OC(=O)CO)ccc(c1n1cnnc1)CNC,17/000000187,"InChI=1S/C12H14N4O4/c1-13-4-8-2-3-9(20-10(18)5-17)12(19)11(8)16-6-14-15-7-16/h2-3,6-7,13,17,19H,4-5H2,1H3",C12H14N4O4,278,0.77,4.76,-5.33,19.2,-160,3.0684847514353937,1,CONCAT
OC/C=C/1\C(=O)NN=C1C(=O)C/C=C/C(=O)[C@@H](CCC)C1=NCCC1,1/000000975,"InChI=1S/C18H23N3O4/c1-2-5-12(14-6-4-10-19-14)15(23)7-3-8-16(24)17-13(9-11-22)18(25)21-20-17/h3,7,9,12,22H,2,4-6,8,10-11H2,1H3,(H,21,25)/b7-3+,13-9-/t12-/m0/s1",C18H23N3O4,345,0.11,4.76,-0.97,7.96,-170,4.419724856546551,1,CONCAT
Oc1cc(NC(=O)C)c(cc1OC(=O)c1nnc[nH]1)CON,17/000000898,"InChI=1S/C12H13N5O5/c1-6(18)16-8-3-9(19)10(2-7(8)4-21-13)22-12(20)11-14-5-15-17-11/h2-3,5,19H,4,13H2,1H3,(H,16,18)(H,14,15,17)",C12H13N5O5,307,0.09,4.76,-4.77,23.7,-80,3.2711722853078165,1,CONCAT
O[C@@H](C)c1ccc(c(c1C=C)O)OC(=O)c1ncoc1,17/000001215,"InChI=1S/C14H13NO5/c1-3-9-10(8(2)16)4-5-12(13(9)17)20-14(18)11-6-19-7-15-11/h3-8,16-17H,1H2,2H3/t8-/m0/s1",C14H13NO5,275,1.5,4.76,-2.94,19.6,-170,3.59516488029681,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)cc(cc1c1ncncn1)C=C,17/000000509,"InChI=1S/C14H10N6O3/c1-2-8-3-9(12-16-5-15-6-17-12)11(21)10(4-8)23-14(22)13-18-7-19-20-13/h2-7,21H,1H2,(H,18,19,20)",C14H10N6O3,310,1.58,4.76,-3.71,22.5,-160,3.4341180946521543,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)cccc1c1c[nH]c(=O)c(c1)N,17/000000363,"InChI=1S/C14H11N5O4/c15-9-4-7(5-16-13(9)21)8-2-1-3-10(11(8)20)23-14(22)12-17-6-18-19-12/h1-6,20H,15H2,(H,16,21)(H,17,18,19)",C14H11N5O4,313,1.39,4.75,-1.77,3.58,-180,3.185801784808154,1,CONCAT
Sc1c(/C=C/C(=C/CS(=O)=O)/C)cc(cc1ON)Br,15/000000241,"InChI=1S/C12H14BrNO3S2/c1-8(4-5-19(15)16)2-3-9-6-10(13)7-11(17-14)12(9)18/h2-4,6-7,18-19H,5,14H2,1H3/b3-2+,8-4+",C12H14NO3S2Br,364,1.74,4.75,-9.3,2.35,-80,4.107450753479268,1,CONCAT
c1oc(nc1CCN)[C@H](NC(=O)C)c1ccc(c(c1)I)N(=O)=O,24/000000015,"InChI=1S/C14H15IN4O4/c1-8(20)17-13(14-18-10(4-5-16)7-23-14)9-2-3-12(19(21)22)11(15)6-9/h2-3,6-7,13H,4-5,16H2,1H3,(H,17,20)/t13-/m1/s1",C14H15N4O4I,430,1.4,4.75,-1.22,24.7,-190,3.4815857010360496,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)ccc(c1)C[C@H](C1=NN=CCN1)F,17/000000981,"InChI=1S/C14H13FN6O3/c15-9(12-16-3-4-18-20-12)5-8-1-2-11(10(22)6-8)24-14(23)13-17-7-19-21-13/h1-2,4,6-7,9,22H,3,5H2,(H,16,20)(H,17,19,21)/t9-/m1/s1",C14H13N6O3F,332,3.04,4.75,-4.88,3.58,-190,4.275726510360883,1,CONCAT
OC(=O)CSCC(=O)Oc1c(N)c(I)cc(c1)COC(=O)CN(=O)=O,9/000000015,"InChI=1S/C13H13IN2O8S/c14-8-1-7(4-23-11(19)3-16(21)22)2-9(13(8)15)24-12(20)6-25-5-10(17)18/h1-2H,3-6,15H2,(H,17,18)",C13H13N2O8SI,484,0.91,4.75,-2.53,3.72,-200,3.0843148412283075,1,CONCAT
SC[C@@](C/C=C\CNO)(C)O,1/000000731,"InChI=1S/C7H15NO2S/c1-7(9,6-11)4-2-3-5-8-10/h2-3,8-11H,4-6H2,1H3/b3-2-/t7-/m0/s1",C7H15NO2S,177,0.95,4.75,1.14,2.22,-170,4.362938420479188,1,CONCAT
OCCCOCCc1nc(sc1)Nc1cc(Cl)cc(c1I)C(=O)N,18/000000007,"InChI=1S/C15H17ClIN3O3S/c16-9-6-11(14(18)22)13(17)12(7-9)20-15-19-10(8-24-15)2-5-23-4-1-3-21/h6-8,21H,1-5H2,(H2,18,22)(H,19,20)",C15H17N3O3SClI,481,2.22,4.75,1.05,5.09,-60,2.8026562253447835,1,CONCAT
OC[C@@]1(C=C)NC(=CC1)C(=O)NC(=S)/C=C\c1nnc([nH]1)C,23/000000007,"InChI=1S/C14H17N5O2S/c1-3-14(8-20)7-6-10(17-14)13(21)16-12(22)5-4-11-15-9(2)18-19-11/h3-6,17,20H,1,7-8H2,2H3,(H,15,18,19)(H,16,21,22)/b5-4-/t14-/m0/s1",C14H17N5O2S,319,0.99,4.74,-0.57,5.08,-170,4.9511926323936315,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)cccc1c1ccc(c(c1Br)O)O,17/000000561,"InChI=1S/C15H10BrN3O5/c16-11-7(4-5-9(20)13(11)22)8-2-1-3-10(12(8)21)24-15(23)14-17-6-18-19-14/h1-6,20-22H,(H,17,18,19)",C15H10N3O5Br,392,4.08,4.74,-3.61,22.6,-200,3.1177140898683193,1,CONCAT
OC/C=C/C=C/[C@H](c1cc(O)c(cc1F)N=O)C(=O)O,16/000000055,"InChI=1S/C13H12FNO5/c14-10-7-11(15-20)12(17)6-9(10)8(13(18)19)4-2-1-3-5-16/h1-4,6-8,16-17H,5H2,(H,18,19)/b3-1+,4-2+/t8-/m1/s1",C13H12NO5F,281,0.86,4.74,-5.73,3.72,-190,3.991700917592848,1,CONCAT
Oc1cc(cc(c1CC/C=C/C[NH3+])N(=O)=O)NC(=O)C,17/000001143,"InChI=1S/C13H17N3O4/c1-9(17)15-10-7-12(16(19)20)11(13(18)8-10)5-3-2-4-6-14/h2,4,7-8,18H,3,5-6,14H2,1H3,(H,15,17)/p+1/b4-2+",C13H18N3O4,280,0.8,4.74,-1.89,3.58,-80,3.276344000519642,1,CONCAT
Oc1c(OC(=O)c2nnc([nH]2)C)cccc1N1C=NC=NC1,17/000000094,"InChI=1S/C13H12N6O3/c1-8-16-12(18-17-8)13(21)22-10-4-2-3-9(11(10)20)19-6-14-5-15-7-19/h2-6,20H,7H2,1H3,(H,16,17,18)",C13H12N6O3,300,1.91,4.73,-1.74,25.0,-180,3.77401126927467,1,CONCAT
Oc1c(OC(=O)CC(=O)C/C=C(/CO)\C)cccc1CCCl,17/000000134,"InChI=1S/C16H19ClO5/c1-11(10-18)5-6-13(19)9-15(20)22-14-4-2-3-12(7-8-17)16(14)21/h2-5,18,21H,6-10H2,1H3/b11-5+",C16H19O5Cl,326,1.25,4.73,1.71,5.09,-80,2.945079511032912,1,CONCAT
ON[C@H](c1nn(cn1)Cc1nnco1)S,1/000000780,"InChI=1S/C6H8N6O2S/c13-11-6(15)5-7-2-12(10-5)1-4-9-8-3-14-4/h2-3,6,11,13,15H,1H2/t6-/m0/s1",C6H8N6O2S,228,0.58,4.73,1.47,22.8,-150,4.34789379258553,1,CONCAT
Oc1c(OC(=O)C(=O)O)ccc(c1)c1n[nH]cc1N,17/000000060,"InChI=1S/C11H9N3O5/c12-6-4-13-14-9(6)5-1-2-8(7(15)3-5)19-11(18)10(16)17/h1-4,15H,12H2,(H,13,14)(H,16,17)",C11H8N3O5,262,0.49,4.73,-5.16,20.6,-180,2.958287700920966,1,CONCAT
ONC/C=C\C[C@@](CS)(c1cnoc1)O,1/000000913,"InChI=1S/C9H14N2O3S/c12-9(7-15,3-1-2-4-10-13)8-5-11-14-6-8/h1-2,5-6,10,12-13,15H,3-4,7H2/b2-1-/t9-/m1/s1",C9H14N2O3S,230,0.63,4.73,1.11,3.58,-150,4.75994168422877,1,CONCAT
OC/C=C\1/C(=NNC1=O)C(=O)C/C=C/C(=O)N(=O)=O,1/000000682,"InChI=1S/C10H9N3O6/c14-5-4-6-9(11-12-10(6)17)7(15)2-1-3-8(16)13(18)19/h1,3-4,14H,2,5H2,(H,12,17)/b3-1+,6-4-",C10H9N3O6,267,-0.4,4.73,4.46,5.09,-90,4.076842608682887,1,CONCAT
OC/C=C/1\C(=O)NN=C1C(=O)C/C=C/C(=O)[C@@H](CCC)c1sncc1,1/000000985,"InChI=1S/C17H19N3O4S/c1-2-4-11(15-7-9-18-25-15)13(22)5-3-6-14(23)16-12(8-10-21)17(24)20-19-16/h3,5,7-9,11,21H,2,4,6,10H2,1H3,(H,20,24)/b5-3+,12-8-/t11-/m1/s1",C17H19N3O4S,361,0.59,4.73,-1.09,7.96,-170,4.444608373030067,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)ccc(c1)[C@H](CCS)CC,17/000000354,"InChI=1S/C14H17N3O3S/c1-2-9(5-6-21)10-3-4-12(11(18)7-10)20-14(19)13-15-8-16-17-13/h3-4,7-9,18,21H,2,5-6H2,1H3,(H,15,16,17)/t9-/m0/s1",C14H17N3O3S,307,3.89,4.73,-5.55,5.39,-190,3.690394148978648,1,CONCAT
Oc1c(OC(=O)c2ncc(o2)C)cccc1c1coc(c1)C[NH3+],17/000000484,"InChI=1S/C16H14N2O5/c1-9-7-18-15(22-9)16(20)23-13-4-2-3-12(14(13)19)10-5-11(6-17)21-8-10/h2-5,7-8,19H,6,17H2,1H3/p+1",C16H15N2O5,315,0.87,4.72,0.1,3.58,-140,3.489891015577385,1,CONCAT
OC(=O)CCCCc1c(O)ccc(c1)C/C=C/N,17/000001667,"InChI=1S/C14H19NO3/c15-9-3-4-11-7-8-13(16)12(10-11)5-1-2-6-14(17)18/h3,7-10,16H,1-2,4-6,15H2,(H,17,18)/b9-3+",C14H19NO3,249,1.84,4.72,-1.99,3.58,0,2.5249745029149935,1,CONCAT
OCC(=C)CCc1nnc([nH]1)C/C=C/CO,21/000000047,"InChI=1S/C11H17N3O2/c1-9(8-16)5-6-11-12-10(13-14-11)4-2-3-7-15/h2-3,15-16H,1,4-8H2,(H,12,13,14)/b3-2+",C11H17N3O2,223,0.65,4.72,11.06,3.58,0,3.7991546291944855,1,CONCAT
Oc1c(OC(=O)C(=O)O)cccc1[C@@H]([NH3+])C,17/000001015,"InChI=1S/C10H11NO5/c1-5(11)6-3-2-4-7(8(6)12)16-10(15)9(13)14/h2-5,12H,11H2,1H3,(H,13,14)/p+1/t5-/m0/s1",C10H11NO5,225,0.0,4.72,-2.05,14.2,-170,3.5205427550588997,1,CONCAT
Oc1c(OC(=O)c2nnc[nH]2)cccc1c1ncnc(n1)C=C,17/000000524,"InChI=1S/C14H10N6O3/c1-2-10-15-6-16-12(19-10)8-4-3-5-9(11(8)21)23-14(22)13-17-7-18-20-13/h2-7,21H,1H2,(H,17,18,20)",C14H10N6O3,310,1.67,4.72,-1.68,22.5,-200,3.503522989757051,1,CONCAT
OC(=O)Cc1ccc(c(c1C=C)O)OC(=O)c1ncc(o1)CCCC,17/000001515,"InChI=1S/C18H19NO6/c1-3-5-6-12-10-19-17(24-12)18(23)25-14-8-7-11(9-15(20)21)13(4-2)16(14)22/h4,7-8,10,22H,2-3,5-6,9H2,1H3,(H,20,21)",C18H19NO6,345,2.11,4.72,-0.06,6.45,-60,3.0227375238020597,1,CONCAT
OC(=O)c1c(Nc2ncc(cc2)Br)c(Br)cc(c1)CNN,20/000000007,"InChI=1S/C13H12Br2N4O2/c14-8-1-2-11(17-6-8)19-12-9(13(20)21)3-7(5-18-16)4-10(12)15/h1-4,6,18H,5,16H2,(H,17,19)(H,20,21)",C13H12N4O2Br2,416,2.82,4.72,-8.49,3.58,-40,2.657441233164267,1,CONCAT
Sc1c(/C=C/C=C/[C@H](CF)O)cc(cc1ON)Br,15/000000221,"InChI=1S/C12H13BrFNO2S/c13-9-5-8(12(18)11(6-9)17-15)3-1-2-4-10(16)7-14/h1-6,10,16,18H,7,15H2/b3-1+,4-2+/t10-/m1/s1",C12H13NO2SFBr,334,2.53,4.71,-8.26,2.35,-170,4.186252876817083,1,CONCAT
OCNCC/C=C/[C@H](c1ccc(c(c1)Cl)Cl)c1ccccc1,8/000000046,"InChI=1S/C18H19Cl2NO/c19-17-10-9-15(12-18(17)20)16(8-4-5-11-21-13-22)14-6-2-1-3-7-14/h1-4,6-10,12,16,21-22H,5,11,13H2/b8-4+/t16-/m0/s1",C18H19NOCl2,335,4.78,4.71,-5.8,15.8,-190,3.0973868676665557,1,CONCAT
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)/C=C\C,1/000000670,"InChI=1S/C14H14N2O4/c1-2-3-9-4-5-10(20-9)8-12(18)13-11(6-7-17)14(19)16-15-13/h2-6,17H,7-8H2,1H3,(H,16,19)/b3-2-,11-6-",C14H14N2O4,274,0.57,4.71,4.53,2.48,-20,3.589087773413416,1,CONCAT
Oc1c(/C=C/C(=C\C)/COC)cccc1OC(=O)c1nnc[nH]1,17/000000464,"InChI=1S/C16H17N3O4/c1-3-11(9-22-2)7-8-12-5-4-6-13(14(12)20)23-16(21)15-17-10-18-19-15/h3-8,10,20H,9H2,1-2H3,(H,17,18,19)/b8-7+,11-3+",C16H17N3O4,315,2.88,4.71,-4.77,3.58,-140,3.3873314889501662,1,CONCAT
NN[C@@H](CN)c1oc(cc1)Br,26/000000120,"InChI=1S/C6H10BrN3O/c7-6-2-1-5(11-6)4(3-8)10-9/h1-2,4,10H,3,8-9H2/t4-/m0/s1",C6H10N3OBr,220,-0.25,4.71,4.52,2.22,-150,3.4839680226012035,1,CONCAT
ONC/C=C/CC1=C[C@@](C=CO1)(CC=C)CC,1/000000893,"InChI=1S/C14H21NO2/c1-3-8-14(4-2)9-11-17-13(12-14)7-5-6-10-15-16/h3,5-6,9,11-12,15-16H,1,4,7-8,10H2,2H3/b6-5+/t14-/m1/s1",C14H21NO2,235,3.03,4.71,-3.42,5.09,-190,4.855137921990685,1,CONCAT
