SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1c(I)nc(cc1)[C@H]([NH3+])C=C,30/000000320,"InChI=1S/C8H9IN2O/c1-2-5(10)6-3-4-7(12)8(9)11-6/h2-5,12H,1,10H2/p+1/t5-/m1/s1",C8H10N2OI,277,1.21,4.07,6.37,10.1,-150,4.679007613096427,1
c1ncc(o1)CON[C@H](CCOCC)c1nnc[nH]1,17/000000142,"InChI=1S/C11H17N5O3/c1-2-17-4-3-10(11-13-7-14-15-11)16-19-6-9-5-12-8-18-9/h5,7-8,10,16H,2-4,6H2,1H3,(H,13,14,15)/t10-/m1/s1",C11H17N5O3,267,1.36,4.07,-2.14,3.58,-170,4.1369923990592605,1
O[C@H](C/C=C\C)c1nnc(o1)S,30/000000083,"InChI=1S/C7H10N2O2S/c1-2-3-4-5(10)6-8-9-7(12)11-6/h2-3,5,10H,4H2,1H3,(H,9,12)/b3-2-/t5-/m1/s1",C7H10N2O2S,186,1.71,4.06,4.94,2.22,-170,4.152711765194329,1
OC(=O)[C@H](c1nc(I)c(cc1)O)O,30/000000279,"InChI=1S/C7H6INO4/c8-6-4(10)2-1-3(9-6)5(11)7(12)13/h1-2,5,10-11H,(H,12,13)/t5-/m0/s1",C7H6NO4I,295,0.05,4.06,7.65,2.22,-150,3.560590332240402,1
Oc1cc(ccc1CCl)[C@H](CCC)O,17/000000219,"InChI=1S/C11H15ClO2/c1-2-3-10(13)8-4-5-9(7-12)11(14)6-8/h4-6,10,13-14H,2-3,7H2,1H3/t10-/m0/s1",C11H15O2Cl,214,2.51,4.06,-0.92,2.35,-170,2.780141551348338,1
Sc1c(OCCCCF)cnc(c1Br)CS,3/000000052,"InChI=1S/C10H13BrFNOS2/c11-9-7(6-15)13-5-8(10(9)16)14-4-2-1-3-12/h5,15H,1-4,6H2,(H,13,16)",C10H13NOS2FBr,326,3.66,4.06,-3.33,3.72,0,3.4568505732504295,1
OCC(CO)Oc1cncc(c1S)Br,3/000000039,"InChI=1S/C8H10BrNO3S/c9-6-1-10-2-7(8(6)14)13-5(3-11)4-12/h1-2,5,11-12H,3-4H2,(H,10,14)",C8H10NO3SBr,280,0.48,4.06,-0.61,2.22,-150,3.295967630226551,1
NC(=O)c1nnc(o1)SCc1n[nH]c(=O)[nH]1,25/000000047,"InChI=1S/C6H6N6O3S/c7-3(13)4-10-12-6(15-4)16-1-2-8-5(14)11-9-2/h1H2,(H2,7,13)(H2,8,9,11,14)",C6H6N6O3S,242,-0.14,4.06,1.07,24.4,0,3.2710561676560257,1
O[C@@H](c1[nH]nnc1C/C=C/C=C/c1nccn1CSC)N,10/000000012,"InChI=1S/C13H18N6OS/c1-21-9-19-8-7-15-11(19)6-4-2-3-5-10-12(13(14)20)17-18-16-10/h2-4,6-8,13,20H,5,9,14H2,1H3,(H,16,17,18)/b3-2+,6-4+/t13-/m0/s1",C13H18N6OS,306,0.33,4.06,-0.55,4.94,-170,4.517141306736143,1
Oc1c(Br)c(Nc2nncs2)cc(c1)CNCCC=C,17/000000290,"InChI=1S/C13H15BrN4OS/c1-2-3-4-15-7-9-5-10(12(14)11(19)6-9)17-13-18-16-8-20-13/h2,5-6,8,15,19H,1,3-4,7H2,(H,17,18)",C13H15N4OSBr,355,3.57,4.06,-8.9,21.3,-60,3.032026726565526,1
Oc1c(Br)c(cc(c1)CCC(=O)OC)CCNCCS,17/000000093,"InChI=1S/C14H20BrNO3S/c1-19-13(18)3-2-10-8-11(4-5-16-6-7-20)14(15)12(17)9-10/h8-9,16-17,20H,2-7H2,1H3",C14H20NO3SBr,362,2.67,4.06,-5.19,3.58,-60,2.7344162149718585,1
O[C@H](c1ocnc1)c1nc(I)c(cc1)O,30/000000295,"InChI=1S/C9H7IN2O3/c10-9-6(13)2-1-5(12-9)8(14)7-3-11-4-15-7/h1-4,8,13-14H/t8-/m0/s1",C9H7N2O3I,318,0.21,4.06,7.6,2.22,-150,3.858474651261737,1
Oc1ccc(cc1CNCF)c1cc[nH]c1,17/000000117,"InChI=1S/C12H13FN2O/c13-8-15-7-11-5-9(1-2-12(11)16)10-3-4-14-6-10/h1-6,14-16H,7-8H2",C12H13N2OF,220,2.05,4.05,-7.7,3.58,-180,2.8716327562847876,1
S[C@H](CCC(=O)OCC)c1nc(I)c(cc1)O,30/000000219,"InChI=1S/C11H14INO3S/c1-2-16-10(15)6-5-9(17)7-3-4-8(14)11(12)13-7/h3-4,9,14,17H,2,5-6H2,1H3/t9-/m1/s1",C11H14NO3SI,367,2.49,4.05,7.44,3.58,-170,3.562727512291689,1
Oc1cc(cc(c1Br)CN)N(S(=O)(=O)C)C,17/000000066,"InChI=1S/C9H13BrN2O3S/c1-12(16(2,14)15)7-3-6(5-11)9(10)8(13)4-7/h3-4,13H,5,11H2,1-2H3",C9H13N2O3SBr,309,1.34,4.05,-3.92,15.4,-120,2.824883559776101,1
Nc1ccc2c(c1)[C@H](OC2)/C=C/c1occ(c1)C(=O)N,25/000000038,"InChI=1S/C15H14N2O3/c16-11-2-1-9-7-20-14(13(9)6-11)4-3-12-5-10(8-19-12)15(17)18/h1-6,8,14H,7,16H2,(H2,17,18)/b4-3+/t14-/m1/s1",C15H14N2O3,270,0.28,4.05,-1.82,19.0,-190,3.7899095545699044,1
