SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
N[C@@H](/C=C/c1n[nH]cc1)C1=COCCO1,4/000000036,"InChI=1S/C10H13N3O2/c11-9(10-7-14-5-6-15-10)2-1-8-3-4-12-13-8/h1-4,7,9H,5-6,11H2,(H,12,13)/b2-1+/t9-/m0/s1",C10H13N3O2,207,0.6,4.73,7.11,2.22,-150,4.560577448464534,1
NOCCc1cc(/C=C/N(=O)=O)c2c(c1)cc([nH]2)CN,22/000000001,"InChI=1S/C13H16N4O3/c14-8-12-7-11-6-9(2-4-20-15)5-10(13(11)16-12)1-3-17(18)19/h1,3,5-7,16H,2,4,8,14-15H2/b3-1+",C13H16N4O3,276,0.31,4.69,-9.0,19.6,-100,3.308260575611217,1
Sc1nnc(o1)[C@](CO)(c1nc([nH]c1)S)OC,23/000000042,"InChI=1S/C8H10N4O3S2/c1-14-8(3-13,4-2-9-6(16)10-4)5-11-12-7(17)15-5/h2,13H,3H2,1H3,(H,12,17)(H2,9,10,16)/t8-/m0/s1",C8H10N4O3S2,274,0.65,4.69,-3.3,24.3,-170,4.795304186311471,1
NN[C@](CCF)(c1nc(n[nH]1)CN)C=C,17/000000018,"InChI=1S/C8H15FN6/c1-2-8(15-11,3-4-9)7-12-6(5-10)13-14-7/h2,15H,1,3-5,10-11H2,(H,12,13,14)/t8-/m1/s1",C8H15N6F,214,-0.15,4.68,0.48,19.2,-150,4.669437690661361,1
OCc1cnc(cc1)NCCOC(=O)CO[C@@H](C)C1=NN=CCN1,13/000000046,"InChI=1S/C15H21N5O4/c1-11(15-17-4-5-19-20-15)24-10-14(22)23-7-6-16-13-3-2-12(9-21)8-18-13/h2-3,5,8,11,21H,4,6-7,9-10H2,1H3,(H,16,18)(H,17,20)/t11-/m0/s1",C15H21N5O4,335,0.9,4.67,3.56,3.58,-170,3.7951867110297783,1
OCC#CCNc1nc(ncc1)CC/C=C\[C@@H]1OCCC1,6/000000156,"InChI=1S/C16H21N3O2/c20-12-4-3-10-17-16-9-11-18-15(19-16)8-2-1-6-14-7-5-13-21-14/h1,6,9,11,14,20H,2,5,7-8,10,12-13H2,(H,17,18,19)/b6-1-/t14-/m0/s1",C16H21N3O2,287,1.04,4.67,6.49,3.58,-150,3.7679824233614534,1
OCc1cnc(cc1)NCCOC(=O)c1nonc1CC,13/000000029,"InChI=1S/C13H16N4O4/c1-2-10-12(17-21-16-10)13(19)20-6-5-14-11-4-3-9(8-18)7-15-11/h3-4,7,18H,2,5-6,8H2,1H3,(H,14,15)",C13H16N4O4,292,1.48,4.67,3.45,3.58,-20,2.6903374665860156,1
Oc1cc(nc2c1NCN2CC=C)CC(=O)OCC,23/000000061,"InChI=1S/C13H17N3O3/c1-3-5-16-8-14-12-10(17)6-9(15-13(12)16)7-11(18)19-4-2/h3,6,14H,1,4-5,7-8H2,2H3,(H,15,17)",C13H17N3O3,263,1.75,4.67,-8.92,16.6,-120,3.1506393644243733,1
OC[C@H](CS)c1nc2c(o1)cccc2CN(=O)=O,18/000000090,"InChI=1S/C11H12N2O4S/c14-5-8(6-18)11-12-10-7(4-13(15)16)2-1-3-9(10)17-11/h1-3,8,14,18H,4-6H2/t8-/m1/s1",C11H12N2O4S,268,0.63,4.66,1.04,18.9,-190,3.7096984969112743,1
Oc1ccc(cc1c1cccc(c1N(=O)=O)COC(=O)CO)C=C,5/000000027,"InChI=1S/C17H15NO6/c1-2-11-6-7-15(20)14(8-11)13-5-3-4-12(17(13)18(22)23)10-24-16(21)9-19/h2-8,19-20H,1,9-10H2",C17H15NO6,329,2.86,4.66,-2.3,20.2,-200,2.732516720073935,1
