SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC/C=C/[C@H](CCl)c1nc(N)ccc1,17/000000048,"InChI=1S/C10H13ClN2O/c11-7-8(3-2-6-14)9-4-1-5-10(12)13-9/h1-5,8,14H,6-7H2,(H2,12,13)/b3-2+/t8-/m1/s1",C10H13N2OCl,212,1.26,4.02,-1.36,3.72,-150,3.728313834126289,1
O[C@H](c1[nH]ccc1COC)c1noc(c1N)C(=C)N(=O)=O,17/000000023,"InChI=1S/C12H14N4O5/c1-6(16(18)19)12-8(13)10(15-21-12)11(17)9-7(5-20-2)3-4-14-9/h3-4,11,14,17H,1,5,13H2,2H3/t11-/m1/s1",C12H14N4O5,294,0.11,4.02,-6.21,3.85,-190,4.224019565845455,1
OC(=O)c1ncnc2c1cc(cc2)NCCC(=S)N,25/000000004,"InChI=1S/C12H12N4O2S/c13-10(19)3-4-14-7-1-2-9-8(5-7)11(12(17)18)16-6-15-9/h1-2,5-6,14H,3-4H2,(H2,13,19)(H,17,18)",C12H12N4O2S,276,-0.19,4.02,-0.06,17.9,-80,2.4713444442502066,1
NC[C@@H]1NC(=CN1)CC(=C)c1nscn1,24/000000184,"InChI=1S/C9H13N5S/c1-6(9-12-5-15-14-9)2-7-4-11-8(3-10)13-7/h4-5,8,11,13H,1-3,10H2/t8-/m0/s1",C9H13N5S,223,0.1,4.01,0.45,20.5,-150,5.070125277379805,1
O=C1N[C@H](C1)/C(=C/CCOc1cc(ccc1N)C)/CCl,14/000000001,"InChI=1S/C15H19ClN2O2/c1-10-4-5-12(17)14(7-10)20-6-2-3-11(9-16)13-8-15(19)18-13/h3-5,7,13H,2,6,8-9,17H2,1H3,(H,18,19)/b11-3+/t13-/m1/s1",C15H19N2O2Cl,294,1.42,4.01,0.9,5.09,-170,3.41782585931779,1
c1ncc(nc1/C=C/C[C@H]([NH3+])c1[nH]ccc1)/C=C/CNCN,28/000000011,"InChI=1S/C16H22N6/c17-12-19-8-2-5-14-11-20-10-13(22-14)4-1-6-15(18)16-7-3-9-21-16/h1-5,7,9-11,15,19,21H,6,8,12,17-18H2/p+1/b4-1+,5-2+/t15-/m0/s1",C16H23N6,299,-0.33,4.01,1.67,5.09,-190,4.498821620413809,1
SCCOCc1cc(/C=C\2/SC(=O)NC2=O)cc(c1)N(=O)=O,9/000000001,"InChI=1S/C13H12N2O5S2/c16-12-11(22-13(17)14-12)6-8-3-9(7-20-1-2-21)5-10(4-8)15(18)19/h3-6,21H,1-2,7H2,(H,14,16,17)/b11-6+",C13H12N2O5S2,340,1.71,4.01,-3.53,3.72,0,2.8409427771110956,1
ON(CC)C/C(=C/c1cnc(cc1)O)/CC1CNNC1,25/000000005,"InChI=1S/C14H22N4O2/c1-2-18(20)10-12(6-13-8-16-17-9-13)5-11-3-4-14(19)15-7-11/h3-5,7,13,16-17,20H,2,6,8-10H2,1H3,(H,15,19)/b12-5+",C14H22N4O2,278,1.06,4.01,-1.48,3.58,-170,3.959595147618159,1
O=c1nc([nH]o1)/C=C/C[C@H]([NH3+])c1[nH]ccc1,28/000000002,"InChI=1S/C10H12N4O2/c11-7(8-4-2-6-12-8)3-1-5-9-13-10(15)16-14-9/h1-2,4-7,12H,3,11H2,(H,13,14,15)/p+1/b5-1+/t7-/m0/s1",C10H13N4O2,221,-0.04,4.01,6.82,2.22,-150,4.681327466000132,1
N(C(=O)Cc1nnc(o1)C/C=C/CC[C@@H]1CC=CC1)N,29/000000235,"InChI=1S/C14H20N4O2/c15-16-12(19)10-14-18-17-13(20-14)9-3-1-2-6-11-7-4-5-8-11/h1,3-5,11H,2,6-10,15H2,(H,16,19)/b3-1+",C14H20N4O2,276,1.28,4.01,5.56,3.72,-150,3.2131959014922344,1
Oc1cc(/C=C/C=C/CC[NH3+])cc(c1O)CC,23/000000034,"InChI=1S/C14H19NO2/c1-2-12-9-11(10-13(16)14(12)17)7-5-3-4-6-8-15/h3-5,7,9-10,16-17H,2,6,8,15H2,1H3/p+1/b4-3+,7-5+",C14H20NO2,234,1.84,4.0,-5.98,3.58,-60,3.421238103935483,1
C(=C\CC1CNNC1)\c1n[nH]c(=O)o1,25/000000006,"InChI=1S/C8H12N4O2/c13-8-12-11-7(14-8)3-1-2-6-4-9-10-5-6/h1,3,6,9-10H,2,4-5H2,(H,12,13)/b3-1-",C8H12N4O2,196,1.43,4.0,1.37,2.22,-150,4.21504306223998,1
c1nc2c(o1)cccc2NC(=O)NC[C@H]1C=CNC(=O)C1,14/000000010,"InChI=1S/C14H14N4O3/c19-12-6-9(4-5-15-12)7-16-14(20)18-10-2-1-3-11-13(10)17-8-21-11/h1-5,8-9H,6-7H2,(H,15,19)(H2,16,18,20)/t9-/m0/s1",C14H14N4O3,286,-0.31,4.0,3.22,3.58,-190,3.625655896900078,1
SCc1c(Cl)nc([nH]1)[C@H]([NH2+]C/C=C/C(=O)N)Cc1[nH]ncc1,17/000000031,"InChI=1S/C13H17ClN6OS/c14-12-10(7-22)18-13(19-12)9(6-8-3-5-17-20-8)16-4-1-2-11(15)21/h1-3,5,9,16,22H,4,6-7H2,(H2,15,21)(H,17,20)(H,18,19)/p+1/b2-1+/t9-/m1/s1",C13H18N6OSCl,341,0.82,4.0,-3.57,3.58,-190,4.871330894607356,1
