SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Database,HBA,HBD,TPSA,RotBonds,NumCarbons,NumOxygens,NumNitrogens,FractionCarbons,FractionOxygens,FractionNitrogens,CSP3,ChiralCarbonFraction,HeavyAtoms,NumRings,AliphaticRings,AromaticRings,Heterocycles,AliphaticHeterocycles,AromaticHeterocycles,SpiroAtoms,BridgeheadAtoms
OC(=O)[C@@H](N)C#Cc1ncn(c1)C,24/000000180,"InChI=1S/C8H9N3O2/c1-11-4-6(10-5-11)2-3-7(9)8(12)13/h4-5,7H,9H2,1H3,(H,12,13)/t7-/m0/s1",C8H9N3O2,179.069476528,-0.8165,4.3,0.45,2.22,-170,4.108076447301812,1,ENAMINE,4,2,81.13999999999999,1,8,2,3,0.6153846153846154,0.15384615384615385,0.23076923076923078,0.25,0.125,13,1,0,1,1,0,1,0,0
OC/C=C(\Cc1ccc(cc1CNN)Cc1oncc1)/C,21/000000020,"InChI=1S/C16H21N3O2/c1-12(5-7-20)8-14-3-2-13(9-15(14)11-18-17)10-16-4-6-19-21-16/h2-6,9,18,20H,7-8,10-11,17H2,1H3/b12-5-",C16H21N3O2,287.163376912,1.7098,4.3,-3.5,3.58,-60,3.163871312739862,1,ENAMINE,5,3,84.31,7,16,2,3,0.7619047619047619,0.09523809523809523,0.14285714285714285,0.3125,0.0,21,2,0,2,1,0,1,0,0
OC[C@H](c1nc(OCCc2nc(c[nH]2)CF)ccc1)NC(=O)C,5/000000032,"InChI=1S/C15H19FN4O3/c1-10(22)18-13(9-21)12-3-2-4-15(20-12)23-6-5-14-17-8-11(7-16)19-14/h2-4,8,13,21H,5-7,9H2,1H3,(H,17,19)(H,18,22)/t13-/m1/s1",C15H19N4O3F,322.144118688,1.0651999999999995,4.3,3.68,5.09,-190,3.6916646190411218,1,ENAMINE,5,3,100.13,8,15,3,4,0.6521739130434783,0.13043478260869565,0.17391304347826086,0.4,0.06666666666666667,23,2,0,2,2,0,2,0,0
SCCNCCc1cccc2c1nc(nc2)/C=C/CC(=C)C[NH3+],27/000000002,"InChI=1S/C18H24N4S/c1-14(12-19)4-2-7-17-21-13-16-6-3-5-15(18(16)22-17)8-9-20-10-11-23/h2-3,5-7,13,20,23H,1,4,8-12,19H2/p+1/b7-2+",C18H25N4S,329.17944422009003,1.8930999999999998,4.3,-4.6,18.9,-120,3.681152360386422,1,ENAMINE,4,3,65.45,9,18,0,4,0.782608695652174,0.0,0.17391304347826086,0.3333333333333333,0.0,23,2,0,2,1,0,1,0,0
O=Nc1c(Cl)ccc(c1N)/N=c\1/scc([nH]1)CN(=O)=O,19/000000001,"InChI=1S/C10H8ClN5O3S/c11-6-1-2-7(8(12)9(6)15-17)14-10-13-5(4-20-10)3-16(18)19/h1-2,4H,3,12H2,(H,13,14)",C10H8N5O3SCl,313.00363779599996,2.7188,4.3,-7.74,24.7,-40,3.928536214971857,1,ENAMINE,7,2,126.74000000000001,4,10,3,5,0.5,0.15,0.25,0.1,0.0,20,2,0,2,1,0,1,0,0
N[C@H](NCCC)C(=O)c1n[nH]c(c1)N,19/000000035,"InChI=1S/C8H15N5O/c1-2-3-11-8(10)7(14)5-4-6(9)13-12-5/h4,8,11H,2-3,10H2,1H3,(H3,9,12,13)/t8-/m1/s1",C8H15N5O,197.12766009999999,-0.5410000000000001,4.3,4.05,3.58,-170,3.808196612077083,1,ENAMINE,5,4,109.81999999999998,5,8,1,5,0.5714285714285714,0.07142857142857142,0.35714285714285715,0.5,0.125,14,1,0,1,1,0,1,0,0
c1ccc([nH]1)[C@H](C/C=C/CN(=O)=O)[NH3+],28/000000006,"InChI=1S/C9H13N3O2/c10-8(9-5-3-6-11-9)4-1-2-7-12(13)14/h1-3,5-6,8,11H,4,7,10H2/p+1/b2-1+/t8-/m0/s1",C9H14N3O2,196.10805310809,0.5206999999999999,4.29,7.43,2.22,-150,4.720799041226881,1,ENAMINE,2,2,86.57,5,9,2,3,0.6428571428571429,0.14285714285714285,0.21428571428571427,0.3333333333333333,0.1111111111111111,14,1,0,1,1,0,1,0,0
N=c1sc(n[nH]1)/C=C/1\N=C(OC1=O)c1ncc[nH]1,9/000000005,"InChI=1S/C9H6N6O2S/c10-9-15-14-5(18-9)3-4-8(16)17-7(13-4)6-11-1-2-12-6/h1-3H,(H2,10,15)(H,11,12)/b4-3-",C9H6N6O2S,262.027294432,0.018269999999999842,4.29,0.2,3.72,-80,3.9101423490688374,1,ENAMINE,7,3,119.87,2,9,2,6,0.5,0.1111111111111111,0.3333333333333333,0.0,0.0,18,3,1,2,3,1,2,0,0
Sc1nnc([nH]1)C[NH2+][C@H](Cc1[nH]ncc1)c1nc(c([nH]1)CS)Cl,17/000000044,"InChI=1S/C12H15ClN8S2/c13-10-8(5-22)16-11(18-10)7(3-6-1-2-15-19-6)14-4-9-17-12(23)21-20-9/h1-2,7,14,22H,3-5H2,(H,15,19)(H,16,18)(H2,17,20,21,23)/p+1/t7-/m1/s1",C12H16N8S2Cl,371.06223861208997,0.6702000000000001,4.29,-4.27,3.58,-150,5.143591095641444,1,ENAMINE,6,6,115.53999999999999,7,12,0,8,0.5217391304347826,0.0,0.34782608695652173,0.3333333333333333,0.08333333333333333,23,3,0,3,3,0,3,0,0
C(=C)/C=C/[C@H]1ONC(=C1)Cc1cc(Br)cc(c1N)OC,21/000000002,"InChI=1S/C15H17BrN2O2/c1-3-4-5-13-9-12(18-20-13)7-10-6-11(16)8-14(19-2)15(10)17/h3-6,8-9,13,18H,1,7,17H2,2H3/b5-4+/t13-/m1/s1",C15H17N2O2Br,336.04733988400005,3.111900000000001,4.29,0.61,3.58,-170,4.2174801300470595,1,ENAMINE,4,2,56.510000000000005,5,15,2,2,0.75,0.1,0.1,0.2,0.06666666666666667,20,2,1,1,1,1,0,0,0
N(C(=O)Cc1nnc(o1)C/C=C/CC[C@@H]1CNC(=O)C1)N,29/000000265,"InChI=1S/C13H19N5O3/c14-16-11(20)7-13-18-17-12(21-13)5-3-1-2-4-9-6-10(19)15-8-9/h1,3,9H,2,4-8,14H2,(H,15,19)(H,16,20)/b3-1+/t9-/m0/s1",C13H19N5O3,293.148789468,-0.38299999999999906,4.29,4.23,5.08,-150,3.645438229813067,1,ENAMINE,6,3,123.14,7,13,3,5,0.6190476190476191,0.14285714285714285,0.23809523809523808,0.5384615384615384,0.07692307692307693,21,2,1,1,2,1,1,0,0
OCC/C=C/[C@H](c1noc(c1)C[NH3+])N(=O)=O,2/000000004,"InChI=1S/C9H13N3O4/c10-6-7-5-8(11-16-7)9(12(14)15)3-1-2-4-13/h1,3,5,9,13H,2,4,6,10H2/p+1/b3-1+/t9-/m1/s1",C9H14N3O4,228.09788234809,-0.3270999999999999,4.28,6.4,2.35,-150,4.719356091722236,1,ENAMINE,5,2,117.04000000000002,6,9,4,3,0.5625,0.25,0.1875,0.4444444444444444,0.1111111111111111,16,1,0,1,1,0,1,0,0
O[C@H](c1nn(cc1)CC)c1ncc([nH]1)N(=O)=O,19/000000028,"InChI=1S/C9H11N5O3/c1-2-13-4-3-6(12-13)8(15)9-10-5-7(11-9)14(16)17/h3-5,8,15H,2H2,1H3,(H,10,11)/t8-/m1/s1",C9H11N5O3,237.086189212,0.6159999999999999,4.28,3.87,22.1,-170,3.7221506674898657,1,ENAMINE,6,2,109.87,4,9,3,5,0.5294117647058824,0.17647058823529413,0.29411764705882354,0.3333333333333333,0.1111111111111111,17,2,0,2,2,0,2,0,0
Oc1ncc(cc1CON)/C=C(\CC1CNNC1)/C,25/000000002,"InChI=1S/C13H20N4O2/c1-9(3-11-6-16-17-7-11)2-10-4-12(8-19-14)13(18)15-5-10/h2,4-5,11,16-17H,3,6-8,14H2,1H3,(H,15,18)/b9-2-",C13H20N4O2,264.15862588,0.6949,4.27,1.86,15.8,-170,3.929923302498876,1,ENAMINE,6,4,92.43,5,13,2,4,0.6842105263157895,0.10526315789473684,0.21052631578947367,0.46153846153846156,0.0,19,2,1,1,2,1,1,0,0
OCCc1noc(c1)C[NH2+]Cc1nonc1,2/000000001,"InChI=1S/C9H12N4O3/c14-2-1-7-3-9(15-12-7)6-10-4-8-5-11-16-13-8/h3,5,10,14H,1-2,4,6H2/p+1",C9H13N4O3,225.09821669609,-1.1439999999999992,4.27,-0.49,2.22,0,4.354082681567645,1,ENAMINE,6,2,101.79,6,9,3,4,0.5625,0.1875,0.25,0.4444444444444444,0.0,16,2,0,2,2,0,2,0,0
Oc1cc(cc(c1O)Br)/C=C/[C@H]1CC=CC1,23/000000022,"InChI=1S/C13H13BrO2/c14-11-7-10(8-12(15)13(11)16)6-5-9-3-1-2-4-9/h1-2,5-9,15-16H,3-4H2/b6-5+",C13H13O2Br,280.009891756,3.8397000000000014,4.27,-6.9,2.22,-170,2.977225398425256,1,ENAMINE,2,2,40.46,2,13,2,0,0.8125,0.125,0.0,0.23076923076923078,0.0,16,2,1,1,0,0,0,0,0
