SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)CNCCOC(=O)Cc1c(C=C)cc(c(c1)O)O,28/000000595,"InChI=1S/C14H17NO6/c1-2-9-5-11(16)12(17)6-10(9)7-14(20)21-4-3-15-8-13(18)19/h2,5-6,15-17H,1,3-4,7-8H2,(H,18,19)",C14H17NO6,295,0.47,4.08,0.01,3.58,-30,2.707413660918,1
O=N[C@@H](C1=CNC=NC1)/C=C/CC#CCc1nn[nH]n1,19/000000023,"InChI=1S/C12H13N7O/c20-17-11(10-7-13-9-14-8-10)5-3-1-2-4-6-12-15-18-19-16-12/h3,5,7,9,11H,1,6,8H2,(H,13,14)(H,15,16,18,19)/b5-3+/t11-/m1/s1",C12H13N7O,271,0.76,4.08,2.54,4.94,-150,5.044558631630223,1
Oc1cc(c(cc1O)C=C)C/C=C\[C@@H](C)NC(=O)N,28/000000660,"InChI=1S/C14H18N2O3/c1-3-10-7-12(17)13(18)8-11(10)6-4-5-9(2)16-14(15)19/h3-5,7-9,17-18H,1,6H2,2H3,(H3,15,16,19)/b5-4-/t9-/m1/s1",C14H18N2O3,262,1.52,4.08,-6.59,3.58,-190,3.667741154715369,1
Oc1cc(cc(c1F)NC(=O)N)/C(=C\CC)/CC,11/000000005,"InChI=1S/C13H17FN2O2/c1-3-5-8(4-2)9-6-10(16-13(15)18)12(14)11(17)7-9/h5-7,17H,3-4H2,1-2H3,(H3,15,16,18)/b8-5-",C13H17N2O2F,252,1.63,4.08,-6.0,3.58,-140,2.920260618299608,1
C(=C\C[C@@H](CN)[NH3+])/c1n[nH]c(n1)CC,29/000000038,"InChI=1S/C9H17N5/c1-2-8-12-9(14-13-8)5-3-4-7(11)6-10/h3,5,7H,2,4,6,10-11H2,1H3,(H,12,13,14)/p+1/b5-3+/t7-/m0/s1",C9H18N5,196,-0.11,4.08,-0.78,2.22,-170,4.722435727617414,1
OC(=O)C[C@H]([NH3+])C#CCC1=CCC=C1,10/000000027,"InChI=1S/C11H13NO2/c12-10(8-11(13)14)7-3-6-9-4-1-2-5-9/h1,4-5,10H,2,6,8,12H2,(H,13,14)/p+1/t10-/m1/s1",C11H14NO2,192,0.18,4.07,-0.64,16.2,-150,4.720731585605579,1
Oc1c(O)cc(c(c1)C=C)[C@@H](CCO)S,28/000000005,"InChI=1S/C11H14O3S/c1-2-7-5-9(13)10(14)6-8(7)11(15)3-4-12/h2,5-6,11-15H,1,3-4H2/t11-/m1/s1",C11H14O3S,226,1.61,4.07,-5.34,12.5,-150,3.64310580510789,1
Oc1cc(c(cc1O)C=C)C/C=C/CCC(=O)C,28/000000308,"InChI=1S/C15H18O3/c1-3-12-9-14(17)15(18)10-13(12)8-6-4-5-7-11(2)16/h3-4,6,9-10,17-18H,1,5,7-8H2,2H3/b6-4+",C15H18O3,246,2.33,4.07,-9.73,2.22,-80,2.9856650335272352,1
Oc1c(O)cc(c(c1)C=C)C(=O)CCCC(=C)N(=O)=O,28/000000114,"InChI=1S/C14H15NO5/c1-3-10-7-13(17)14(18)8-11(10)12(16)6-4-5-9(2)15(19)20/h3,7-8,17-18H,1-2,4-6H2",C14H15NO5,277,2.41,4.06,-8.48,4.94,-60,3.195654256929899,1
Sc1c(N(=O)=O)cnc2c1c(=O)[nH]c(n2)CCC,23/000000009,"InChI=1S/C10H10N4O3S/c1-2-3-6-12-9-7(10(15)13-6)8(18)5(4-11-9)14(16)17/h4H,2-3H2,1H3,(H2,11,12,13,15,18)",C10H10N4O3S,266,1.29,4.06,-4.34,19.8,-140,3.026141014688932,1
