SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Oc1cc(c(cc1O)C=C)C/C=C/CC=S;28/000000361;InChI=1S/C13H14O2S/c1-2-10-8-12(14)13(15)9-11(10)6-4-3-5-7-16/h2-4,7-9,14-15H,1,5-6H2/b4-3+;C13H14O2S;234;2.56;4.12;-7.62;2.22;0
Oc1cc(C(=C)c2cc(S)ccc2F)c(cc1O)C=C;28/000000225;InChI=1S/C16H13FO2S/c1-3-10-6-15(18)16(19)8-12(10)9(2)13-7-11(20)4-5-14(13)17/h3-8,18-20H,1-2H2;C16H13O2SF;288;4.64;4.67;-6.87;3.58;-20
Oc1cc(c(cc1O)C=C)C/C=C\Cc1cnc[nH]1;28/000000284;InChI=1S/C15H16N2O2/c1-2-11-7-14(18)15(19)8-12(11)5-3-4-6-13-9-16-10-17-13/h2-4,7-10,18-19H,1,5-6H2,(H,16,17)/b4-3-;C15H16N2O2;256;2.18;4.25;-6.41;3.58;0
O=NCCOC(=O)Cc1cc(O)c(cc1C=C)O;28/000000577;InChI=1S/C12H13NO5/c1-2-8-5-10(14)11(15)6-9(8)7-12(16)18-4-3-13-17/h2,5-6,14-15H,1,3-4,7H2;C12H13NO5;251;1.09;4.58;-0.72;2.22;0
Oc1cc(C(=S)c2ccc(cc2N)Cl)c(cc1O)C=C;28/000000156;InChI=1S/C15H12ClNO2S/c1-2-8-5-13(18)14(19)7-11(8)15(20)10-4-3-9(16)6-12(10)17/h2-7,18-19H,1,17H2;C15H12NO2SCl;305;3.34;4.21;-7.05;17.20;-20
Oc1c(O)cc(c(c1)C=C)[C@@H](C(=O)CCO)C(=O)OC;28/000000351;InChI=1S/C14H16O6/c1-3-8-6-11(17)12(18)7-9(8)13(14(19)20-2)10(16)4-5-15/h3,6-7,13,15,17-18H,1,4-5H2,2H3/t13-/m0/s1;C14H16O6;280;0.20;4.32;-3.19;4.69;-170
Oc1cc(c(cc1O)C=C)C/C=C\Cc1cnc[nH]1;28/000000277;InChI=1S/C15H16N2O2/c1-2-11-7-14(18)15(19)8-12(11)5-3-4-6-13-9-16-10-17-13/h2-4,7-10,18-19H,1,5-6H2,(H,16,17)/b4-3-;C15H16N2O2;256;2.18;4.18;-6.15;3.58;0
Oc1c(O)cc(c(c1)C=C)[C@@H](/C=C\C)N=O;28/000000274;InChI=1S/C12H13NO3/c1-3-5-10(13-16)9-7-12(15)11(14)6-8(9)4-2/h3-7,10,14-15H,2H2,1H3/b5-3-/t10-/m1/s1;C12H13NO3;219;2.20;4.43;-3.74;14.60;-170
Oc1c(O)cc(c(c1)C=C)C/C=C\CBr;28/000000411;InChI=1S/C12H13BrO2/c1-2-9-7-11(14)12(15)8-10(9)5-3-4-6-13/h2-4,7-8,14-15H,1,5-6H2/b4-3-;C12H13O2Br;269;3.27;4.33;-6.48;2.22;0
Oc1c(O)cc(c(c1)C=C)C(=O)CCCCCNC(=O)N;28/000000075;InChI=1S/C15H20N2O4/c1-2-10-8-13(19)14(20)9-11(10)12(18)6-4-3-5-7-17-15(16)21/h2,8-9,19-20H,1,3-7H2,(H3,16,17,21);C15H20N2O4;292;1.09;4.11;-9.03;4.94;-50
